Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	Eosin: Mean	Eosin: Median	Eosin: Min	Eosin: Max	Eosin: Std.Dev.
kwa-4 肺_Default_Extended.tif	3309dd0d-c7ff-4d13-b3e2-3ba50937aeb0	Detection			Annotation	Polygon	446.84	694.05	30.75	27	0.5301	0.9077	7.8262	5.6569	0.5799	0.5425	0.3142	1.0006	0.1689	0.5006	0.3298	0.074	1.5325	0.3903
kwa-4 肺_Default_Extended.tif	7cc2479e-8165-4703-9122-519156da53ef	Detection			Annotation	Polygon	305.51	694.43	70	42	0.4987	0.9195	12.9035	7.701	0.6122	0.5897	0.2204	1.2078	0.1864	0.5467	0.3776	0.0342	1.5685	0.4677
kwa-4 肺_Default_Extended.tif	c73fe9af-8c23-4cbe-9ce0-f2943a025268	Detection			Annotation	Polygon	425.66	695.22	51.75	32	0.6351	0.9431	10.1242	6.5	0.8141	0.7751	0.2869	2.2001	0.361	0.5123	0.3793	-0.1925	1.5293	0.4398
kwa-4 肺_Default_Extended.tif	b3d06983-16da-4796-a844-d4ae25d78de9	Detection			Annotation	Polygon	321.25	694.18	91.75	49	0.4802	0.8697	16.1555	7.7032	0.4642	0.4533	0.2075	1.1233	0.1171	0.2402	0.2134	0.0536	1.4991	0.1689
kwa-4 肺_Default_Extended.tif	6c75fb8f-b7c3-4d11-a0c8-b459c9cfab2e	Detection			Annotation	Polygon	255.45	698.3	26.75	23	0.6354	0.9427	6.8807	5	0.3533	0.3041	0.1527	0.7201	0.1433	0.255	0.1878	0.096	1.5655	0.2154
kwa-4 肺_Default_Extended.tif	2c33f145-6cf5-48a3-a431-1006a09dec55	Detection			Annotation	Polygon	261.44	698.61	16.75	19	0.5831	0.9054	6.4031	4.2426	0.8929	0.904	0.4225	1.2132	0.1607	0.9399	1.1474	0.2151	1.366	0.4142
kwa-4 肺_Default_Extended.tif	6242f3d8-a1db-4d83-9695-34b1d61d2025	Detection			Annotation	Polygon	332.98	698.25	63	38	0.5483	0.9316	11.5109	7.6525	0.586	0.5755	0.1723	1.2654	0.1999	0.3571	0.2546	-0.0237	1.4892	0.34
kwa-4 肺_Default_Extended.tif	0eaa195a-7a2c-4acc-a9a1-2ff8b7421e1c	Detection			Annotation	Polygon	342.15	698.66	51	33	0.5885	0.9358	9.4776	8	0.6938	0.6734	0.269	1.2285	0.2238	0.6789	0.5716	-0.0473	1.5695	0.4671
kwa-4 肺_Default_Extended.tif	f0833244-79d5-4534-8426-f487f92a8a89	Detection			Annotation	Polygon	282.37	700.11	45	30	0.6283	0.9449	9.4467	6.5	0.7735	0.7817	0.2534	1.3852	0.2129	0.9228	0.9192	0.107	1.6133	0.4155
kwa-4 肺_Default_Extended.tif	b0925f57-b7d9-4224-b9f8-d3248b79fe6b	Detection			Annotation	Polygon	406.3	701.25	49.5	37	0.4544	0.9	11.7047	6.7175	0.5087	0.4864	0.2079	0.8568	0.1414	0.4198	0.3337	0.128	1.5074	0.2689
kwa-4 肺_Default_Extended.tif	3530db38-d0f1-4552-81da-eaa7a9c53ccd	Detection			Annotation	Polygon	292.26	701.02	64.25	40	0.5046	0.9113	11.8586	7.8262	0.6342	0.6243	0.2175	1.0864	0.1789	0.4875	0.3658	0.0774	1.5049	0.3305
kwa-4 肺_Default_Extended.tif	9ac6e5b9-3611-47c9-a0e3-e1c2a376b7c4	Detection			Annotation	Polygon	240.28	702.47	54.5	35	0.5591	0.9277	10.0255	7.4246	0.69	0.6327	0.208	1.369	0.233	0.6018	0.4037	0.0887	1.5806	0.4106
